year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
2001,ARGENTINA,AR,ISCHILIN,AR-14049,CORDOBA,AR-14,8224.251361
2001,ARGENTINA,AR,JIMENEZ,AR-86091,SANTIAGO DEL ESTERO,AR-86,8212.65302
2001,ARGENTINA,AR,JUAN B. ALBERDI,AR-90042,TUCUMAN,AR-90,66.26407915
2001,ARGENTINA,AR,JUAN F. IBARRA,AR-86098,SANTIAGO DEL ESTERO,AR-86,7004.671621
2001,ARGENTINA,AR,JUNIN,AR-74049,SAN LUIS,AR-74,4093.719486
2001,ARGENTINA,AR,LA CANDELARIA,AR-66084,SALTA,AR-66,278.2764215
2001,ARGENTINA,AR,LA COCHA,AR-90049,TUCUMAN,AR-90,340.2796565
2001,ARGENTINA,AR,LAISHI,AR-34021,FORMOSA,AR-34,1051.037045
2001,ARGENTINA,AR,LA PAZ,AR-10070,CATAMARCA,AR-10,7421.960742
2001,ARGENTINA,AR,LA VINA,AR-66098,SALTA,AR-66,170.6397836
2001,ARGENTINA,AR,LEALES,AR-90056,TUCUMAN,AR-90,559.2785181
2001,ARGENTINA,AR,LIBERTAD,AR-22077,CHACO,AR-22,483.170806
2001,ARGENTINA,AR,LIBERTADOR GENERAL SAN MARTIN,AR-22084,CHACO,AR-22,861.2266946
2001,ARGENTINA,AR,LIBERTADOR GENERAL SAN MARTIN,AR-74063,SAN LUIS,AR-74,541.243126
2001,ARGENTINA,AR,LORETO,AR-86105,SANTIAGO DEL ESTERO,AR-86,566.0205687
2001,ARGENTINA,AR,MAIPU,AR-22091,CHACO,AR-22,834.2848808
2001,ARGENTINA,AR,MATACOS,AR-34028,FORMOSA,AR-34,62.55704105
2001,ARGENTINA,AR,MAYOR LUIS J. FONTANA,AR-22098,CHACO,AR-22,210.9088032
2001,ARGENTINA,AR,METAN,AR-66112,SALTA,AR-66,1046.635213
2001,ARGENTINA,AR,MINAS,AR-14070,CORDOBA,AR-14,681.1395631
2001,ARGENTINA,AR,MITRE,AR-86112,SANTIAGO DEL ESTERO,AR-86,1531.702335
2001,ARGENTINA,AR,MORENO,AR-86119,SANTIAGO DEL ESTERO,AR-86,17073.52934
2001,ARGENTINA,AR,O'HIGGINS,AR-22112,CHACO,AR-22,580.2524162
2001,ARGENTINA,AR,OJO DE AGUA,AR-86126,SANTIAGO DEL ESTERO,AR-86,3236.97232
2001,ARGENTINA,AR,ORAN,AR-66126,SALTA,AR-66,2047.069131
2001,ARGENTINA,AR,PALPALA,AR-38042,JUJUY,AR-38,32.02911008
2001,ARGENTINA,AR,PATINO,AR-34035,FORMOSA,AR-34,6137.826757
2001,ARGENTINA,AR,PELLEGRINI,AR-86133,SANTIAGO DEL ESTERO,AR-86,914.531151
